Id;Dificultad;Tema;Remitente;Descripcion;Malicioso
15;3;Recordatorio: Auditoría interna programada;Remitente: Juan Esteban juan.esteban@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nTe recordamos que la auditoría interna se llevará a cabo la próxima semana. Durante este tiempo, es posible que se te pida verificar información adicional. No es necesario que envíes ningún dato de manera urgente; solo sigue las indicaciones que te enviarán directamente desde el departamento de auditoría.\n\nSi tienes dudas, comunícate con el equipo de auditoría.\n\nSaludos,\n\nJuan Esteban\n\nGerente de Operaciones;\n\nFalse
16;3; [ALERTA] Seguridad de cuenta comprometida;Remitente: CyberFort IT security-support@cyberfortlabs-security.com;\nHola [Nombre del jugador],\n\nNuestra revisión detectó una posible vulneración en tu cuenta. Para garantizar la seguridad de los datos, descarga y ejecuta el archivo adjunto que repara las posibles vulnerabilidades.\n\nEs fundamental que lo hagas de inmediato para evitar el cierre de tu cuenta.\n\nGracias,\n\nEquipo de Seguridad de TI de CyberFort Labs;\n\nTrue
17;3;Confirmación de política de privacidad y seguridad;Remitente: Recursos Humanos hr@cyberfortlabs.com;\nEstimado [Nombre del jugador],\n\nComo parte de nuestro compromiso con la seguridad, solicitamos que todos los empleados lean y confirmen nuestra política de privacidad actualizada. Puedes revisar el documento en el portal de empleados.\n\nEste correo no requiere ninguna acción inmediata, pero te pedimos que completes la confirmación antes de fin de mes.\n\nSaludos,\n\nEl equipo de Recursos Humanos;\n\nFalse
18;3;Nuevo sistema de escaneo de correos adjuntos;Remitente: Seguridad IT itsecurity@cyberfortlabs.com;\n\nHola [Nombre del jugador],\n\nPara mejorar la seguridad, hemos implementado un sistema que escanea todos los archivos adjuntos entrantes. Ahora puedes revisar si un archivo es seguro directamente en el portal de escaneo.\n\nTe recomendamos encarecidamente que escanees todos los adjuntos antes de abrirlos, como siempre.\n\nAtentamente,\n\nEl equipo de Seguridad de IT;\n\nFalse
19;4;Invitación a la reunión anual de CyberFort Labs;Remitente: Isabella Rojas isabella.rojas@cyberfortlabs.com;\nEstimado [Nombre del jugador],\n\nMe complace invitarte a nuestra reunión anual de CyberFort Labs, donde compartiremos los logros de este año y discutiremos los próximos desafíos de la empresa.\n\nPor favor, confirma tu asistencia a través del enlace oficial del portal de empleados.\n\nSaludos cordiales,\n\nIsabella Rojas\nCEO, CyberFort Labs\n\nEnlace: www.cyberfortlabs.com/reunion-anual\n\n;False
20;4;[ALERTA] Confirma tu información bancaria urgentemente;Remitente: Finanzas CyberFort finanzas@cyberfort-payments.com;\nHola [Nombre del jugador],\n\nNecesitamos que confirmes los detalles de tu cuenta bancaria urgentemente para evitar interrupciones en los pagos. Haz clic en el siguiente enlace para confirmar.\n\nGracias,\n\nEquipo de Finanzas de CyberFort Labs\n\nEnlace sospechoso: www.cyberfort-payments.com/confirmacion;\n\nTrue
21;4;Recordatorio de cambio de contraseñas de acceso;Remitente: IT Seguridad itsecurity@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nEste es un recordatorio para actualizar tu contraseña en los sistemas de acceso, conforme a nuestra política de seguridad. Te recomendamos utilizar una combinación de letras, números y caracteres especiales.\n\nHaz el cambio de contraseña en el portal oficial.\n\nGracias,\n\nEquipo de Seguridad IT de CyberFort Labs.\n\nEnlace: www.cyberfortlabs.com/cambio-contraseña\n\n;False
22;4;Aviso de nueva actualización de seguridad;Remitente: Juan Esteban juan.esteban@cyberfortlabs.com;\nEstimado [Nombre del jugador],\n\nHemos implementado una nueva actualización de seguridad para los sistemas de la empresa. Te pedimos que revises el archivo adjunto con las instrucciones y realices los pasos necesarios.\n\nPor favor, comunícate conmigo si tienes alguna pregunta.\n\nSaludos,\n\nJuan Esteban\nGerente de Operaciones\n\nAdjunto seguro: "Guía_actualización_seguridad.pdf"\n\n;False
23;4;Haz clic aquí para activar tu cuenta (máxima prioridad);Remitente: CyberFort Seguridad security@cyberfortlabs-support.com;\nHola,\n\nDetectamos actividad sospechosa en tu cuenta. Haz clic en el enlace para activar la seguridad de inmediato y evitar el bloqueo. ¡No tardes!\n\nGracias,\n\nCyberFort Labs\n\nEnlace sospechoso: www.cyberfortlabs-security.com/activar\n\n;True
24;4;Informe mensual de rendimiento;Remitente: HR CyberFort hr@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nAdjunto encontrarás el informe mensual de rendimiento para tu revisión. Te recordamos mantener este documento confidencial y almacenarlo en el sistema seguro de CyberFort Labs.\n\nCualquier duda, no dudes en comunicarte con nosotros.\n\nSaludos,\n\nEquipo de Recursos Humanos de CyberFort Labs\n\nAdjunto seguro: "Informe_rendimiento_octubre.pdf"\n\n;False
25;5;Actualización urgente de seguridad;Remitente: IT Security support@cyberfort-secure.com;\nHola [Nombre del jugador],\n\nPara proteger tus datos, necesitas actualizar tus credenciales inmediatamente. Sigue las instrucciones en el archivo adjunto para completar la actualización. Este cambio es obligatorio para todos los empleados activos.\n\nAtentamente,\n\nEquipo de Seguridad IT\n\nAdjunto sospechoso: "Instrucciones_actualización_seguridad.pdf"\n\n;True
26;5;Confirmación de cuenta bancaria para nuevo pago;Remitente: Finanzas CyberFort financias@cyberfortlabs.com;\nEstimado [Nombre del jugador],\n\nPara asegurar la transferencia de su próximo pago, es necesario que confirme su cuenta bancaria. Haga clic en el enlace para verificar su información.\n\nGracias por su colaboración,\n\nEquipo de Finanzas CyberFort\n\nEnlace sospechoso: www.cyberfort-paymments.com/verificacion\n\n;True
27;5;Felicitaciones: Bono de fin de año aprobado;Remitente: Recursos Humanos hr@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nQueremos informarte que se ha aprobado un bono especial de fin de año. Para reclamarlo, simplemente confirma tus datos personales y bancarios haciendo clic en el enlace a continuación.\n\nAgradecemos tu dedicación,\n\nEquipo de Recursos Humanos, CyberFort Labs\n\nEnlace sospechoso: www.cyberfortlabs.com/bono-fin-de-año\n\n;True
28;5;Nueva política de contraseñas de la empresa;Remitente: IT Seguridad itsecurity@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nPara cumplir con las nuevas políticas de seguridad, actualiza tu contraseña siguiendo las instrucciones en el archivo adjunto. Asegúrate de crear una contraseña fuerte y almacenarla en un lugar seguro.\n\nGracias por tu atención,\n\nEquipo de Seguridad IT, CyberFort Labs\n\nAdjunto seguro: "Política_contraseñas_actualizada.pdf"\n\n;False
29;5;Notificación de phishing detectado en tu cuenta;Remitente: Seguridad CyberFort security@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nDetectamos actividad sospechosa en tu cuenta que parece estar relacionada con un intento de phishing. Para proteger tus datos, inicia sesión en nuestro portal seguro y revisa tu actividad reciente.\n\nPor favor, actúa con urgencia para garantizar la seguridad de tu cuenta.\n\nCyberFort Labs\n\nEnlace seguro: www.cyberfortlabs.com/seguridad\n\n;False
30;5;Reserva de la sala de conferencias aprobada;Remitente: Administración CyberFort admin@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nTu solicitud para reservar la sala de conferencias ha sido aprobada para el próximo martes. Si tienes alguna pregunta o necesitas ajustar la reserva, comunícate con nuestro equipo de administración.\n\nGracias,\n\nAdministración de CyberFort Labs\n\nAdjunto seguro: "Confirmación_reserva_sala.pdf"\n\n;False
